sample_label,device_type,horizon_minutes,target_final_passed_bases,device_is_promethion,minimum_q_score_setting,planned_run_limit_hours,series_resolution_seconds,observed_through_seconds,observed_estimated_bases,observed_passed_bases,observed_failed_bases,observed_total_reads,observed_passed_reads,observed_failed_reads,observed_passed_base_fraction,observed_passed_read_fraction,observed_mean_passed_read_length,observed_mean_failed_read_length,observed_mean_estimated_read_length,observed_basecalling_completion_ratio,observed_average_estimated_bases_per_hour,observed_average_passed_bases_per_hour,observed_recent_estimated_bases_per_hour,observed_recent_passed_bases_per_hour,observed_qscore_lower,observed_qscore_mode,observed_qscore_upper,observed_translocation_q25,observed_translocation_median,observed_translocation_q75,observed_temperature,observed_target_temperature,pore_activity_sequencing_percent,pore_activity_pore_available_percent,pore_activity_unavailable_percent,pore_activity_inactive_percent,pore_activity_unclassified_percent,pore_scan_pore_available_count,pore_scan_reserved_pore_count,pore_scan_unavailable_count,pore_scan_saturated_count,pore_scan_zero_count,pore_scan_inactive_count
Sample1,MINION_MK1D,30,0,0,,24.0,1800.0,1800.0,9511546.0,,,3178.0,,,,,,,2992.934550031466,,19023092.0,,,,,,,,,,34.92694943745931,0.0,43.999379079861114,24.592639930555556,9.49191521267361,14.4797427734375,7.436323003472222,1538.0,3.0,157.0,2.0,239.0,109.0
Sample1,MINION_MK1D,60,0,0,,24.0,1800.0,3600.0,27749613.0,,,7635.0,,,,,,,3634.526915520629,,27749613.0,,36476134.0,,,,,,,,34.92709808349609,0.0,49.94320772569445,28.2034404296875,9.599129665798612,7.9794375,4.274784678819445,1538.0,3.0,157.0,2.0,239.0,109.0
Sample1,MINION_MK1D,120,0,0,,24.0,1800.0,7200.0,78997863.0,,,17025.0,,,,,,,4640.109427312776,,39498931.5,,55223194.0,,,,,,,,34.92607803344727,0.0,40.28365475260417,28.151685872395834,8.524622374131944,13.874332595486111,9.165704405381945,1475.0,25.0,157.0,2.0,282.0,107.0
Sample2,MINION_MK1D,30,201939766,0,9,24.0,1800.0,1800.0,11978013.0,4614873.0,1332842.0,9899.0,4041.0,5777.0,0.7759068818865732,0.40822305283361954,1142.012620638456,230.71525012982517,1210.0225275280332,0.49655272539777673,23956026.0,9229746.0,,,3.20716834,5.875,13.1154957,221.764893,274.639313,318.565094,35.12148844401042,0.0,17.88723693576389,6.865836219618056,9.26222009548611,60.01660857204861,5.968098177083333,434.0,149.0,486.0,10.0,797.0,172.0
Sample2,MINION_MK1D,60,201939766,0,9,24.0,1800.0,3600.0,30255090.0,11382503.0,2914520.0,20949.0,9389.0,11449.0,0.7961449736773872,0.44818368418540266,1212.3232506124189,254.56546423268406,1444.2259773736216,0.4725493462422356,30255090.0,11382503.0,36554154.0,13535260.0,3.19984388,5.86986113,14.8596964,224.310501,281.377838,330.082214,35.9308666229248,0.0,14.172195421006945,4.525623871527778,8.725217556423612,69.83983782552083,2.7371253255208337,434.0,149.0,486.0,10.0,797.0,172.0
Sample2,MINION_MK1D,120,201939766,0,9,24.0,1800.0,7200.0,69999411.0,26708052.0,8620274.0,42049.0,20721.0,21252.0,0.755995401536999,0.4927822302551785,1288.9364412914435,405.62177677395067,1664.7104806297416,0.5046946180732863,34999705.5,13354026.0,44605104.0,18132942.0,3.24492621,9.87103653,15.7733774,225.424545,280.863373,325.427246,35.930854161580406,0.0,10.957349869791667,2.729077582465278,11.009655902777778,69.84468904079861,5.459227604166667,330.0,77.0,616.0,13.0,817.0,195.0
Sample3,MINION_MK1D,30,472366132,0,9,24.0,1800.0,1800.0,20970327.0,9646924.0,1511475.0,17056.0,10618.0,6229.0,0.8645437396529735,0.6225375234521576,908.544358636278,242.65130839621128,1229.49853424015,0.532104196563077,41940654.0,19293848.0,,,2.89465594,11.3687153,18.0816059,273.196625,337.543091,374.366577,35.455270512898764,0.0,31.925030967881945,15.834278797743057,16.13054296875,26.956552690972224,9.153594574652779,1262.0,6.0,180.0,21.0,332.0,247.0
Sample3,MINION_MK1D,60,472366132,0,9,24.0,1800.0,3600.0,61941154.0,26783678.0,3649873.0,44915.0,30654.0,13960.0,0.8800707482344075,0.6824891461649782,873.7416976577282,261.4522206303725,1379.0750083491039,0.49133006143217806,61941154.0,26783678.0,81941654.0,34273508.0,6.03609896,13.391057,18.6333027,276.96698,341.787079,380.24939,35.93119138081868,0.0,29.011681575520836,18.982734570312502,17.234339908854167,28.852332161458335,5.918911783854167,1262.0,6.0,180.0,21.0,332.0,247.0
Sample3,MINION_MK1D,120,472366132,0,9,24.0,1800.0,7200.0,153563058.0,70236676.0,10867293.0,100069.0,70635.0,29160.0,0.8660078768771476,0.7058629545613526,994.3608126283004,372.6780864197531,1534.5717255093984,0.5281476551476332,76781529.0,35118338.0,94947902.0,47254698.0,4.19904566,13.1010647,18.1896019,253.362686,317.845154,368.638153,35.9311466217041,0.0,30.158284483506947,7.924701280381945,19.707867122395836,31.17839613715278,11.030750976562501,897.0,9.0,392.0,25.0,487.0,238.0
Sample4,MINION_MK1D,30,761708920,0,8,72.0,1800.0,1800.0,15588214.0,12936651.0,1109526.0,13899.0,10887.0,2986.0,0.9210086844270865,0.7832937621411612,1188.2659134747864,371.57602143335566,1121.5349305705447,0.9010767365652024,31176428.0,25873302.0,,,7.76255608,9.97134781,13.068778,365.171478,394.783447,418.393341,35.05984535217285,0.0,13.818521636284723,6.331317513020833,6.673467230902778,67.6614365451389,5.515257074652778,260.0,85.0,536.0,46.0,827.0,294.0
Sample4,MINION_MK1D,60,761708920,0,8,72.0,1800.0,3600.0,41250499.0,33019109.0,2693339.0,29344.0,23509.0,5771.0,0.9245826273236716,0.8011518538713195,1404.5305627631972,466.70230462658117,1405.7558274263904,0.8657458422502962,41250499.0,33019109.0,51324570.0,40164916.0,8.125,10.625,13.2097921,367.40918,399.03894,422.775055,35.292948659261064,0.0,14.723829101562501,5.183488932291667,5.2242634765625,72.91057256944445,1.957845920138889,260.0,85.0,536.0,46.0,827.0,294.0
